COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
HUNTINGDON,jorgensenj,12/27/2021 20:35:30.245083,64,219,3,4595,18067,130
HUNTINGDON,trumpd,12/27/2021 20:35:30.245083,1834,15130,97,4595,18067,130
INDIANA,bidenj,12/27/2021 20:35:30.245083,6675,5801,158,10624,30156,418
INDIANA,jorgensenj,12/27/2021 20:35:30.245083,119,347,9,10624,30156,418
INDIANA,trumpd,12/27/2021 20:35:30.245083,3830,24008,251,10624,30156,418
JEFFERSON,bidenj,12/27/2021 20:35:30.245083,2167,2283,48,4166,18319,276
JEFFERSON,jorgensenj,12/27/2021 20:35:30.245083,68,261,6,4166,18319,276
JEFFERSON,trumpd,12/27/2021 20:35:30.245083,1931,15775,222,4166,18319,276
JUNIATA,bidenj,12/27/2021 20:35:30.245083,1112,1123,18,2353,9592,98
JUNIATA,jorgensenj,12/27/2021 20:35:30.245083,30,109,2,2353,9592,98
JUNIATA,trumpd,12/27/2021 20:35:30.245083,1211,8360,78,2353,9592,98
LACKAWANNA,bidenj,12/27/2021 20:35:30.245083,32119,29016,856,41226,72439,1745
LACKAWANNA,jorgensenj,12/27/2021 20:35:30.245083,313,758,14,41226,72439,1745
LACKAWANNA,trumpd,12/27/2021 20:35:30.245083,8794,42665,875,41226,72439,1745
LANCASTER,bidenj,12/27/2021 20:35:30.245083,62503,51178,2166,89184,186153,4902
LANCASTER,jorgensenj,12/27/2021 20:35:30.245083,1172,2932,79,89184,186153,4902
LANCASTER,trumpd,12/27/2021 20:35:30.245083,25509,132043,2657,89184,186153,4902
LAWRENCE,bidenj,12/27/2021 20:35:30.245083,7994,7840,144,12445,33234,397
LAWRENCE,jorgensenj,12/27/2021 20:35:30.245083,133,365,3,12445,33234,397
LAWRENCE,trumpd,12/27/2021 20:35:30.245083,4318,25029,250,12445,33234,397
LEBANON,bidenj,12/27/2021 20:35:30.245083,14009,9392,531,22087,48169,1396
LEBANON,jorgensenj,12/27/2021 20:35:30.245083,247,720,22,22087,48169,1396
LEBANON,trumpd,12/27/2021 20:35:30.245083,7831,38057,843,22087,48169,1396
LEHIGH,bidenj,12/27/2021 20:35:30.245083,57544,39263,1481,76062,105746,2905
LEHIGH,jorgensenj,12/27/2021 20:35:30.245083,716,1419,31,76062,105746,2905
LEHIGH,trumpd,12/27/2021 20:35:30.245083,17802,65064,1393,76062,105746,2905
LUZERNE,bidenj,12/27/2021 20:35:30.245083,38389,25390,1094,56507,93864,2950
LUZERNE,jorgensenj,12/27/2021 20:35:30.245083,503,984,32,56507,93864,2950
LUZERNE,trumpd,12/27/2021 20:35:30.245083,17615,67490,1824,56507,93864,2950
LYCOMING,bidenj,12/27/2021 20:35:30.245083,7911,8814,246,12839,45589,826
LYCOMING,jorgensenj,12/27/2021 20:35:30.245083,197,613,11,12839,45589,826
LYCOMING,trumpd,12/27/2021 20:35:30.245083,4731,36162,569,12839,45589,826
MERCER,bidenj,12/27/2021 20:35:30.245083,9817,10737,513,14869,41807,1278
MERCER,jorgensenj,12/27/2021 20:35:30.245083,172,553,19,14869,41807,1278
MERCER,trumpd,12/27/2021 20:35:30.245083,4880,30517,746,14869,41807,1278
MIFFLIN,bidenj,12/27/2021 20:35:30.245083,2583,1983,37,4834,16495,173
MIFFLIN,jorgensenj,12/27/2021 20:35:30.245083,64,162,3,4834,16495,173
MIFFLIN,trumpd,12/27/2021 20:35:30.245083,2187,14350,133,4834,16495,173
MONROE,bidenj,12/27/2021 20:35:30.245083,25345,18689,26,33992,49775,62
MONROE,jorgensenj,12/27/2021 20:35:30.245083,388,654,1,33992,49775,62
MONROE,trumpd,12/27/2021 20:35:30.245083,8259,30432,35,33992,49775,62
MONTGOMERY,bidenj,12/27/2021 20:35:30.245083,200541,116744,2226,242831,263448,3878
MONTGOMERY,jorgensenj,12/27/2021 20:35:30.245083,1872,3280,34,242831,263448,3878
MONTGOMERY,trumpd,12/27/2021 20:35:30.245083,40418,143424,1618,242831,263448,3878
MONTOUR,bidenj,12/27/2021 20:35:30.245083,2130,1619,22,3223,6475,73
MONTOUR,jorgensenj,12/27/2021 20:35:30.245083,42,114,0,3223,6475,73
MONTOUR,trumpd,12/27/2021 20:35:30.245083,1051,4742,51,3223,6475,73
McKEAN,bidenj,12/27/2021 20:35:30.245083,2344,2754,0,4178,15288,0
McKEAN,jorgensenj,12/27/2021 20:35:30.245083,62,223,0,4178,15288,0
McKEAN,trumpd,12/27/2021 20:35:30.245083,1772,12311,0,4178,15288,0
NORTHAMPTON,bidenj,12/27/2021 20:35:30.245083,53481,30753,853,73462,95636,1844
NORTHAMPTON,jorgensenj,12/27/2021 20:35:30.245083,761,1217,23,73462,95636,1844
NORTHAMPTON,trumpd,12/27/2021 20:35:30.245083,19220,63666,968,73462,95636,1844
NORTHUMBERLAND,bidenj,12/27/2021 20:35:30.245083,5630,6831,216,9183,32386,714
NORTHUMBERLAND,jorgensenj,12/27/2021 20:35:30.245083,136,505,13,9183,32386,714
NORTHUMBERLAND,trumpd,12/27/2021 20:35:30.245083,3417,25050,485,9183,32386,714
PERRY,bidenj,12/27/2021 20:35:30.245083,3083,2826,41,5555,18894,203
PERRY,jorgensenj,12/27/2021 20:35:30.245083,88,316,5,5555,18894,203
PERRY,trumpd,12/27/2021 20:35:30.245083,2384,15752,157,5555,18894,203
PHILADELPHIA,bidenj,12/27/2021 20:35:30.245083,339403,252719,11668,370361,356625,14391
PHILADELPHIA,jorgensenj,12/27/2021 20:35:30.245083,1843,2904,100,370361,356625,14391
PHILADELPHIA,trumpd,12/27/2021 20:35:30.245083,29115,101002,2623,370361,356625,14391
PIKE,bidenj,12/27/2021 20:35:30.245083,8641,4212,166,13273,18860,421
PIKE,jorgensenj,12/27/2021 20:35:30.245083,141,180,1,13273,18860,421
PIKE,trumpd,12/27/2021 20:35:30.245083,4491,14468,254,13273,18860,421
POTTER,bidenj,12/27/2021 20:35:30.245083,787,918,21,1591,7362,111
POTTER,jorgensenj,12/27/2021 20:35:30.245083,14,84,1,1591,7362,111
POTTER,trumpd,12/27/2021 20:35:30.245083,790,6360,89,1591,7362,111
SCHUYLKILL,bidenj,12/27/2021 20:35:30.245083,9569,10884,274,15952,53658,993
SCHUYLKILL,jorgensenj,12/27/2021 20:35:30.245083,233,764,8,15952,53658,993
SCHUYLKILL,trumpd,12/27/2021 20:35:30.245083,6150,42010,711,15952,53658,993
SNYDER,bidenj,12/27/2021 20:35:30.245083,2557,2327,26,4372,14605,163
SNYDER,jorgensenj,12/27/2021 20:35:30.245083,74,169,4,4372,14605,163
SNYDER,trumpd,12/27/2021 20:35:30.245083,1741,12109,133,4372,14605,163
SOMERSET,bidenj,12/27/2021 20:35:30.245083,3998,4556,100,7706,32382,455
SOMERSET,jorgensenj,12/27/2021 20:35:30.245083,112,303,8,7706,32382,455
SOMERSET,trumpd,12/27/2021 20:35:30.245083,3596,27523,347,7706,32382,455
SULLIVAN,bidenj,12/27/2021 20:35:30.245083,441,471,9,825,2741,29
SULLIVAN,jorgensenj,12/27/2021 20:35:30.245083,18,36,1,825,2741,29
SULLIVAN,trumpd,12/27/2021 20:35:30.245083,366,2234,19,825,2741,29
SUSQUEHANNA,bidenj,12/27/2021 20:35:30.245083,3283,2869,84,5563,15810,379
SUSQUEHANNA,jorgensenj,12/27/2021 20:35:30.245083,70,231,8,5563,15810,379
SUSQUEHANNA,trumpd,12/27/2021 20:35:30.245083,2210,12710,287,5563,15810,379
TIOGA,bidenj,12/27/2021 20:35:30.245083,2270,2616,69,4473,16298,304
TIOGA,jorgensenj,12/27/2021 20:35:30.245083,81,295,2,4473,16298,304
TIOGA,trumpd,12/27/2021 20:35:30.245083,2122,13387,233,4473,16298,304
UNION,bidenj,12/27/2021 20:35:30.245083,4221,3203,51,6055,13868,192
UNION,jorgensenj,12/27/2021 20:35:30.245083,87,195,2,6055,13868,192
UNION,trumpd,12/27/2021 20:35:30.245083,1747,10470,139,6055,13868,192
VENANGO,bidenj,12/27/2021 20:35:30.245083,3833,3646,106,6395,19745,388
VENANGO,jorgensenj,12/27/2021 20:35:30.245083,98,269,7,6395,19745,388
VENANGO,trumpd,12/27/2021 20:35:30.245083,2464,15830,275,6395,19745,388
WARREN,bidenj,12/27/2021 20:35:30.245083,3074,2920,72,5074,15295,281
WARREN,jorgensenj,12/27/2021 20:35:30.245083,91,250,6,5074,15295,281
WARREN,trumpd,12/27/2021 20:35:30.245083,1909,12125,203,5074,15295,281
WASHINGTON,bidenj,12/27/2021 20:35:30.245083,25266,19409,413,36851,80347,1280
WASHINGTON,jorgensenj,12/27/2021 20:35:30.245083,401,896,13,36851,80347,1280
WASHINGTON,trumpd,12/27/2021 20:35:30.245083,11184,60042,854,36851,80347,1280
WAYNE,bidenj,12/27/2021 20:35:30.245083,5459,3671,61,8772,19081,236
WAYNE,jorgensenj,12/27/2021 20:35:30.245083,63,195,3,8772,19081,236
WAYNE,trumpd,12/27/2021 20:35:30.245083,3250,15215,172,8772,19081,236
WESTMORELAND,bidenj,12/27/2021 20:35:30.245083,39502,31597,1030,59209,142802,2686
WESTMORELAND,jorgensenj,12/27/2021 20:35:30.245083,609,1707,34,59209,142802,2686
WESTMORELAND,trumpd,12/27/2021 20:35:30.245083,19098,109498,1622,59209,142802,2686
WYOMING,bidenj,12/27/2021 20:35:30.245083,2463,2180,61,4020,10656,182
WYOMING,jorgensenj,12/27/2021 20:35:30.245083,54,159,5,4020,10656,182
WYOMING,trumpd,12/27/2021 20:35:30.245083,1503,8317,116,4020,10656,182
YORK,bidenj,12/27/2021 20:35:30.245083,50122,35869,2123,75724,157536,5211
YORK,jorgensenj,12/27/2021 20:35:30.245083,1048,2458,118,75724,157536,5211
YORK,trumpd,12/27/2021 20:35:30.245083,24554,119209,2970,75724,157536,5211
ADAMS,bidenj,12/28/2021 09:07:33.204723,11436,6611,160,18840,37097,603
ADAMS,jorgensenj,12/28/2021 09:07:33.204723,256,544,10,18840,37097,603
ADAMS,trumpd,12/28/2021 09:07:33.204723,7148,29942,433,18840,37097,603
ALLEGHENY,bidenj,12/28/2021 09:07:33.204723,273080,148171,7814,342731,362715,14287
ALLEGHENY,jorgensenj,12/28/2021 09:07:33.204723,3076,5085,183,342731,362715,14287
ALLEGHENY,trumpd,12/28/2021 09:07:33.204723,66575,209459,6290,342731,362715,14287
ARMSTRONG,bidenj,12/28/2021 09:07:33.204723,4108,4275,74,7103,28848,419
ARMSTRONG,jorgensenj,12/28/2021 09:07:33.204723,78,340,6,7103,28848,419
ARMSTRONG,trumpd,12/28/2021 09:07:33.204723,2917,24233,339,7103,28848,419
BEAVER,bidenj,12/28/2021 09:07:33.204723,20153,17304,665,28993,63619,1510
BEAVER,jorgensenj,12/28/2021 09:07:33.204723,372,851,18,28993,63619,1510
BEAVER,trumpd,12/28/2021 09:07:33.204723,8468,45464,827,28993,63619,1510
BEDFORD,bidenj,12/28/2021 09:07:33.204723,2498,1822,47,5584,21580,410
BEDFORD,jorgensenj,12/28/2021 09:07:33.204723,59,121,2,5584,21580,410
BEDFORD,trumpd,12/28/2021 09:07:33.204723,3027,19637,361,5584,21580,410
BERKS,bidenj,12/28/2021 09:07:33.204723,47364,43533,1998,65179,136170,4191
BERKS,jorgensenj,12/28/2021 09:07:33.204723,778,2058,73,65179,136170,4191
BERKS,trumpd,12/28/2021 09:07:33.204723,17037,90579,2120,65179,136170,4191
BLAIR,bidenj,12/28/2021 09:07:33.204723,9576,7856,204,16884,45920,791
BLAIR,jorgensenj,12/28/2021 09:07:33.204723,193,454,6,16884,45920,791
BLAIR,trumpd,12/28/2021 09:07:33.204723,7115,37610,581,16884,45920,791
BRADFORD,bidenj,12/28/2021 09:07:33.204723,3806,4147,93,6514,23209,436
BRADFORD,jorgensenj,12/28/2021 09:07:33.204723,109,397,7,6514,23209,436
BRADFORD,trumpd,12/28/2021 09:07:33.204723,2599,18665,336,6514,23209,436
BUCKS,bidenj,12/28/2021 09:07:33.204723,124345,77498,2869,164304,225995,5935
BUCKS,jorgensenj,12/28/2021 09:07:33.204723,1453,2654,48,164304,225995,5935
BUCKS,trumpd,12/28/2021 09:07:33.204723,38506,145843,3018,164304,225995,5935
BUTLER,bidenj,12/28/2021 09:07:33.204723,21061,15955,492,32931,78881,1493
BUTLER,jorgensenj,12/28/2021 09:07:33.204723,369,1046,23,32931,78881,1493
BUTLER,trumpd,12/28/2021 09:07:33.204723,11501,61880,978,32931,78881,1493
CAMBRIA,bidenj,12/28/2021 09:07:33.204723,10878,10585,267,17516,52228,830
CAMBRIA,jorgensenj,12/28/2021 09:07:33.204723,209,542,8,17516,52228,830
CAMBRIA,trumpd,12/28/2021 09:07:33.204723,6429,41101,555,17516,52228,830
CAMERON,bidenj,12/28/2021 09:07:33.204723,347,279,8,715,1691,28
CAMERON,jorgensenj,12/28/2021 09:07:33.204723,10,19,0,715,1691,28
CAMERON,trumpd,12/28/2021 09:07:33.204723,358,1393,20,715,1691,28
CARBON,bidenj,12/28/2021 09:07:33.204723,5898,5145,169,9161,23979,489
CARBON,jorgensenj,12/28/2021 09:07:33.204723,99,328,6,9161,23979,489
CARBON,trumpd,12/28/2021 09:07:33.204723,3164,18506,314,9161,23979,489
CENTRE,bidenj,12/28/2021 09:07:33.204723,25307,14449,299,32576,44296,621
CENTRE,jorgensenj,12/28/2021 09:07:33.204723,380,672,14,32576,44296,621
CENTRE,trumpd,12/28/2021 09:07:33.204723,6889,29175,308,32576,44296,621
CHESTER,bidenj,12/28/2021 09:07:33.204723,118545,61873,1954,150083,160949,3470
CHESTER,jorgensenj,12/28/2021 09:07:33.204723,1356,2171,38,150083,160949,3470
CHESTER,trumpd,12/28/2021 09:07:33.204723,30182,96905,1478,150083,160949,3470
CLARION,bidenj,12/28/2021 09:07:33.204723,2310,2339,29,4092,15199,202
CLARION,jorgensenj,12/28/2021 09:07:33.204723,62,173,2,4092,15199,202
CLARION,trumpd,12/28/2021 09:07:33.204723,1720,12687,171,4092,15199,202
CLEARFIELD,bidenj,12/28/2021 09:07:33.204723,4777,4823,73,8374,30756,292
CLEARFIELD,jorgensenj,12/28/2021 09:07:33.204723,140,402,4,8374,30756,292
CLEARFIELD,trumpd,12/28/2021 09:07:33.204723,3457,25531,215,8374,30756,292
CLINTON,bidenj,12/28/2021 09:07:33.204723,2703,2706,93,4252,13052,321
CLINTON,jorgensenj,12/28/2021 09:07:33.204723,42,177,2,4252,13052,321
CLINTON,trumpd,12/28/2021 09:07:33.204723,1507,10169,226,4252,13052,321
COLUMBIA,bidenj,12/28/2021 09:07:33.204723,5489,4945,98,8447,22372,352
COLUMBIA,jorgensenj,12/28/2021 09:07:33.204723,130,403,8,8447,22372,352
COLUMBIA,trumpd,12/28/2021 09:07:33.204723,2828,17024,246,8447,22372,352
CRAWFORD,bidenj,12/28/2021 09:07:33.204723,6557,6053,314,10508,30617,879
CRAWFORD,jorgensenj,12/28/2021 09:07:33.204723,129,384,8,10508,30617,879
CRAWFORD,trumpd,12/28/2021 09:07:33.204723,3822,24180,557,10508,30617,879
CUMBERLAND,bidenj,12/28/2021 09:07:33.204723,36833,24861,551,52235,87970,1390
CUMBERLAND,jorgensenj,12/28/2021 09:07:33.204723,680,1429,29,52235,87970,1390
CUMBERLAND,trumpd,12/28/2021 09:07:33.204723,14722,61680,810,52235,87970,1390
DAUPHIN,bidenj,12/28/2021 09:07:33.204723,42304,35137,1542,54157,90406,2805
DAUPHIN,jorgensenj,12/28/2021 09:07:33.204723,623,1310,44,54157,90406,2805
DAUPHIN,trumpd,12/28/2021 09:07:33.204723,11230,53959,1219,54157,90406,2805
DELAWARE,bidenj,12/28/2021 09:07:33.204723,107643,94246,4534,128812,192313,6806
DELAWARE,jorgensenj,12/28/2021 09:07:33.204723,874,2048,54,128812,192313,6806
DELAWARE,trumpd,12/28/2021 09:07:33.204723,20295,96019,2218,128812,192313,6806
ELK,bidenj,12/28/2021 09:07:33.204723,2141,2337,44,3822,12893,191
ELK,jorgensenj,12/28/2021 09:07:33.204723,63,179,2,3822,12893,191
ELK,trumpd,12/28/2021 09:07:33.204723,1618,10377,145,3822,12893,191
ERIE,bidenj,12/28/2021 09:07:33.204723,36741,30647,898,48750,86402,1931
ERIE,jorgensenj,12/28/2021 09:07:33.204723,569,1335,24,48750,86402,1931
ERIE,trumpd,12/28/2021 09:07:33.204723,11440,54420,1009,48750,86402,1931
FAYETTE,bidenj,12/28/2021 09:07:33.204723,10538,9337,569,15935,44629,1575
FAYETTE,jorgensenj,12/28/2021 09:07:33.204723,128,328,12,15935,44629,1575
FAYETTE,trumpd,12/28/2021 09:07:33.204723,5269,34964,994,15935,44629,1575
FOREST,bidenj,12/28/2021 09:07:33.204723,420,306,2,731,1898,17
FOREST,jorgensenj,12/28/2021 09:07:33.204723,9,25,2,731,1898,17
FOREST,trumpd,12/28/2021 09:07:33.204723,302,1567,13,731,1898,17
FRANKLIN,bidenj,12/28/2021 09:07:33.204723,12710,9483,229,20799,59208,776
FRANKLIN,jorgensenj,12/28/2021 09:07:33.204723,294,813,9,20799,59208,776
FRANKLIN,trumpd,12/28/2021 09:07:33.204723,7795,48912,538,20799,59208,776
FULTON,bidenj,12/28/2021 09:07:33.204723,511,564,10,1211,6641,125
FULTON,jorgensenj,12/28/2021 09:07:33.204723,21,46,1,1211,6641,125
FULTON,trumpd,12/28/2021 09:07:33.204723,679,6031,114,1211,6641,125
GREENE,bidenj,12/28/2021 09:07:33.204723,2649,2233,29,4342,13153,174
GREENE,jorgensenj,12/28/2021 09:07:33.204723,38,138,3,4342,13153,174
GREENE,trumpd,12/28/2021 09:07:33.204723,1655,10782,142,4342,13153,174
HUNTINGDON,bidenj,12/28/2021 09:07:33.204723,2697,2718,30,4595,18067,130
HUNTINGDON,jorgensenj,12/28/2021 09:07:33.204723,64,219,3,4595,18067,130
HUNTINGDON,trumpd,12/28/2021 09:07:33.204723,1834,15130,97,4595,18067,130
INDIANA,bidenj,12/28/2021 09:07:33.204723,6675,5801,158,10624,30156,418
INDIANA,jorgensenj,12/28/2021 09:07:33.204723,119,347,9,10624,30156,418
INDIANA,trumpd,12/28/2021 09:07:33.204723,3830,24008,251,10624,30156,418
JEFFERSON,bidenj,12/28/2021 09:07:33.204723,2167,2283,48,4166,18319,276
JEFFERSON,jorgensenj,12/28/2021 09:07:33.204723,68,261,6,4166,18319,276
JEFFERSON,trumpd,12/28/2021 09:07:33.204723,1931,15775,222,4166,18319,276
JUNIATA,bidenj,12/28/2021 09:07:33.204723,1112,1123,18,2353,9592,98
JUNIATA,jorgensenj,12/28/2021 09:07:33.204723,30,109,2,2353,9592,98
JUNIATA,trumpd,12/28/2021 09:07:33.204723,1211,8360,78,2353,9592,98
LACKAWANNA,bidenj,12/28/2021 09:07:33.204723,32119,29016,856,41226,72439,1745
LACKAWANNA,jorgensenj,12/28/2021 09:07:33.204723,313,758,14,41226,72439,1745
LACKAWANNA,trumpd,12/28/2021 09:07:33.204723,8794,42665,875,41226,72439,1745
LANCASTER,bidenj,12/28/2021 09:07:33.204723,62503,51178,2166,89184,186153,4902
LANCASTER,jorgensenj,12/28/2021 09:07:33.204723,1172,2932,79,89184,186153,4902
LANCASTER,trumpd,12/28/2021 09:07:33.204723,25509,132043,2657,89184,186153,4902
LAWRENCE,bidenj,12/28/2021 09:07:33.204723,7994,7840,144,12445,33234,397
