COUNTY,PRECINCT,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,TOTAL_VOTES
Allegheny,BETHEL PARK WARD 3 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,2,3,0,298
Allegheny,BETHEL PARK WARD 3 DIST 1,other,12/27/2021 20:35:30.245083,1,0,0,298
Allegheny,BETHEL PARK WARD 3 DIST 1,trumpd,12/27/2021 20:35:30.245083,79,287,0,298
Allegheny,BETHEL PARK WARD 3 DIST 2,bidenj,12/27/2021 20:35:30.245083,342,148,0,481
Allegheny,BETHEL PARK WARD 3 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,2,4,0,481
Allegheny,BETHEL PARK WARD 3 DIST 2,other,12/27/2021 20:35:30.245083,1,0,0,481
Allegheny,BETHEL PARK WARD 3 DIST 2,trumpd,12/27/2021 20:35:30.245083,136,313,0,481
Allegheny,BETHEL PARK WARD 3 DIST 3,bidenj,12/27/2021 20:35:30.245083,353,119,0,501
Allegheny,BETHEL PARK WARD 3 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,5,7,0,501
Allegheny,BETHEL PARK WARD 3 DIST 3,other,12/27/2021 20:35:30.245083,1,2,0,501
Allegheny,BETHEL PARK WARD 3 DIST 3,trumpd,12/27/2021 20:35:30.245083,142,327,0,501
Allegheny,BETHEL PARK WARD 4 DIST 1,bidenj,12/27/2021 20:35:30.245083,367,145,0,529
Allegheny,BETHEL PARK WARD 4 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,5,3,0,529
Allegheny,BETHEL PARK WARD 4 DIST 1,other,12/27/2021 20:35:30.245083,1,3,0,529
Allegheny,BETHEL PARK WARD 4 DIST 1,trumpd,12/27/2021 20:35:30.245083,156,435,0,529
Allegheny,BETHEL PARK WARD 4 DIST 2,bidenj,12/27/2021 20:35:30.245083,252,66,0,347
Allegheny,BETHEL PARK WARD 4 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,3,4,0,347
Allegheny,BETHEL PARK WARD 4 DIST 2,other,12/27/2021 20:35:30.245083,1,0,0,347
Allegheny,BETHEL PARK WARD 4 DIST 2,trumpd,12/27/2021 20:35:30.245083,91,232,0,347
Allegheny,BETHEL PARK WARD 4 DIST 3,bidenj,12/27/2021 20:35:30.245083,250,128,0,357
Allegheny,BETHEL PARK WARD 4 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,5,1,0,357
Allegheny,BETHEL PARK WARD 4 DIST 3,other,12/27/2021 20:35:30.245083,1,0,0,357
Allegheny,BETHEL PARK WARD 4 DIST 3,trumpd,12/27/2021 20:35:30.245083,101,266,0,357
Allegheny,BETHEL PARK WARD 5 DIST 1,bidenj,12/27/2021 20:35:30.245083,181,97,0,274
Allegheny,BETHEL PARK WARD 5 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,5,0,0,274
Allegheny,BETHEL PARK WARD 5 DIST 1,other,12/27/2021 20:35:30.245083,0,0,0,274
