CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
yes-2,2021-11-03T02:54:17.073Z,792864,149961,0
no-3,2021-11-03T02:59:20.667Z,467782,83237,0
yes-2,2021-11-03T02:59:20.667Z,818225,145250,0
no-3,2021-11-03T03:02:22.633Z,470970,83237,0
yes-2,2021-11-03T03:02:22.633Z,823433,145250,0
no-3,2021-11-03T03:04:23.933Z,473618,83237,0
yes-2,2021-11-03T03:04:23.933Z,825579,145250,0
no-3,2021-11-03T03:05:24.707Z,475956,83237,0
yes-2,2021-11-03T03:05:24.707Z,830425,145250,0
no-3,2021-11-03T03:06:25.357Z,478205,83237,0
yes-2,2021-11-03T03:06:25.357Z,833949,145250,0
no-3,2021-11-03T03:07:26.023Z,480706,83237,0
yes-2,2021-11-03T03:07:26.023Z,837690,145250,0
no-3,2021-11-03T03:12:28.353Z,481445,83237,0
yes-2,2021-11-03T03:12:28.353Z,839077,145250,0
no-3,2021-11-03T03:13:28.983Z,488355,83237,0
yes-2,2021-11-03T03:13:28.983Z,851050,145250,0
no-3,2021-11-03T03:14:29.760Z,488962,83237,0
yes-2,2021-11-03T03:14:29.760Z,852270,145250,0
no-3,2021-11-03T03:17:31.680Z,498225,83237,0
yes-2,2021-11-03T03:17:31.680Z,867181,145250,0
no-3,2021-11-03T03:23:35.507Z,528413,83237,0
yes-2,2021-11-03T03:23:35.507Z,924376,145250,0
no-3,2021-11-03T03:24:36.120Z,533853,83237,0
yes-2,2021-11-03T03:24:36.120Z,934908,145250,0
no-3,2021-11-03T03:26:37.840Z,536976,83237,0
yes-2,2021-11-03T03:26:37.840Z,939636,145250,0
no-3,2021-11-03T03:28:39.863Z,546086,83237,0
yes-2,2021-11-03T03:28:39.863Z,956261,145250,0
no-3,2021-11-03T03:29:40.980Z,546924,83237,0
yes-2,2021-11-03T03:29:40.980Z,957788,145250,0
no-3,2021-11-03T03:31:43.173Z,548655,83237,0
yes-2,2021-11-03T03:31:43.173Z,961243,145250,0
no-3,2021-11-03T03:36:46.897Z,555977,83237,0
yes-2,2021-11-03T03:36:46.897Z,972845,145250,0
no-3,2021-11-03T03:38:49.480Z,559793,83237,0
yes-2,2021-11-03T03:38:49.480Z,979664,145250,0
no-3,2021-11-03T03:39:50.130Z,561229,83237,0
yes-2,2021-11-03T03:39:50.130Z,982128,145250,0
no-3,2021-11-03T03:40:50.757Z,562267,83237,0
