COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
Lee,trumpd,12/27/2021 20:35:30.279628,110357,42657,0,None,None,None
Leon,bidenj,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,la_rivag,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,other,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Leon,trumpd,12/27/2021 20:35:30.279628,0,0,0,0,0,0
Levy,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Levy,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Liberty,bidenj,12/27/2021 20:35:30.279628,237,193,0,None,None,None
Liberty,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Liberty,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Liberty,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Liberty,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Liberty,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Liberty,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
